time,force_plate_1_fx,force_plate_1_fy,force_plate_1_fz,force_plate_2_fx,force_plate_2_fy,force_plate_2_fz,force_plate_3_fx,force_plate_3_fy,force_plate_3_fz,force_plate_4_fx,force_plate_4_fy,force_plate_4_fz
0.001,0.0,0.0,-0.09712871287128699,0.0,0.0,-0.09712871287128699,0.0,0.0,-0.09712871287128699,0.0,0.0,-0.09712871287128699
0.002,0.0,0.0,0.01827173806490201,0.0,0.0,0.01827173806490201,0.0,0.0,0.01827173806490201,0.0,0.0,0.01827173806490201
0.003,0.0,0.0,0.015796150833585543,0.0,0.0,0.015796150833585543,0.0,0.0,0.015796150833585543,0.0,0.0,0.015796150833585543
0.004,0.0,0.0,0.01264368940881333,0.0,0.0,0.01264368940881333,0.0,0.0,0.01264368940881333,0.0,0.0,0.01264368940881333
0.005,0.0,0.0,0.01010877604642424,0.0,0.0,0.01010877604642424,0.0,0.0,0.01010877604642424,0.0,0.0,0.01010877604642424
0.006,0.0,0.0,0.008081940063334514,0.0,0.0,0.008081940063334514,0.0,0.0,0.008081940063334514,0.0,0.0,0.008081940063334514
0.007,0.0,0.0,0.006461488209392741,0.0,0.0,0.006461488209392741,0.0,0.0,0.006461488209392741,0.0,0.0,0.006461488209392741
0.008,0.0,0.0,0.005165941515908656,0.0,0.0,0.005165941515908656,0.0,0.0,0.005165941515908656,0.0,0.0,0.005165941515908656
0.009,0.0,0.0,0.004130155604896046,0.0,0.0,0.004130155604896046,0.0,0.0,0.004130155604896046,0.0,0.0,0.004130155604896046
0.01,0.0,0.0,0.003302047703822808,0.0,0.0,0.003302047703822808,0.0,0.0,0.003302047703822808,0.0,0.0,0.003302047703822808
0.011,0.0,0.0,0.0026399777832466498,0.0,0.0,0.0026399777832466498,0.0,0.0,0.0026399777832466498,0.0,0.0,0.0026399777832466498
0.012,0.0,0.0,0.0021106547576454915,0.0,0.0,0.0021106547576454915,0.0,0.0,0.0021106547576454915,0.0,0.0,0.0021106547576454915
0.013,0.0,0.0,0.0016874624984559716,0.0,0.0,0.0016874624984559716,0.0,0.0,0.0016874624984559716,0.0,0.0,0.0016874624984559716
0.014,0.0,0.0,0.0013491214862835221,0.0,0.0,0.0013491214862835221,0.0,0.0,0.0013491214862835221,0.0,0.0,0.0013491214862835221
0.015,0.0,0.0,0.0010786188057299029,0.0,0.0,0.0010786188057299029,0.0,0.0,0.0010786188057299029,0.0,0.0,0.0010786188057299029
0.016,0.0,0.0,0.000862352679027012,0.0,0.0,0.000862352679027012,0.0,0.0,0.000862352679027012,0.0,0.0,0.000862352679027012
0.017,0.0,0.0,0.0006894485235253711,0.0,0.0,0.0006894485235253711,0.0,0.0,0.0006894485235253711,0.0,0.0,0.0006894485235253711
0.018,0.0,0.0,0.0005512121410848891,0.0,0.0,0.0005512121410848891,0.0,0.0,0.0005512121410848891,0.0,0.0,0.0005512121410848891
0.019,0.0,0.0,0.00044069254501089006,0.0,0.0,0.00044069254501089006,0.0,0.0,0.00044069254501089006,0.0,0.0,0.00044069254501089006
0.02,0.0,0.0,0.0003523324410785733,0.0,0.0,0.0003523324410785733,0.0,0.0,0.0003523324410785733,0.0,0.0,0.0003523324410785733
0.021,0.0,0.0,0.0002816887883447805,0.0,0.0,0.0002816887883447805,0.0,0.0,0.0002816887883447805,0.0,0.0,0.0002816887883447805
0.022,0.0,0.0,0.00022520938816050773,0.0,0.0,0.00022520938816050773,0.0,0.0,0.00022520938816050773,0.0,0.0,0.00022520938816050773
0.023,0.0,0.0,0.00018005426773726185,0.0,0.0,0.00018005426773726185,0.0,0.0,0.00018005426773726185,0.0,0.0,0.00018005426773726185
0.024,0.0,0.0,0.00014395287687385405,0.0,0.0,0.00014395287687385405,0.0,0.0,0.00014395287687385405,0.0,0.0,0.00014395287687385405
0.025,0.0,0.0,0.0001150899171911135,0.0,0.0,0.0001150899171911135,0.0,0.0,0.0001150899171911135,0.0,0.0,0.0001150899171911135
0.026,0.0,0.0,9.20140627016508e-05,0.0,0.0,9.20140627016508e-05,0.0,0.0,9.20140627016508e-05,0.0,0.0,9.20140627016508e-05
0.027,0.0,0.0,7.356498241684051e-05,0.0,0.0,7.356498241684051e-05,0.0,0.0,7.356498241684051e-05,0.0,0.0,7.356498241684051e-05
0.028,0.0,0.0,5.88149950182526e-05,0.0,0.0,5.88149950182526e-05,0.0,0.0,5.88149950182526e-05,0.0,0.0,5.88149950182526e-05
0.029,0.0,0.0,4.7022421862052965e-05,0.0,0.0,4.7022421862052965e-05,0.0,0.0,4.7022421862052965e-05,0.0,0.0,4.7022421862052965e-05
0.03,0.0,0.0,3.7594293042175764e-05,0.0,0.0,3.7594293042175764e-05,0.0,0.0,3.7594293042175764e-05,0.0,0.0,3.7594293042175764e-05
0.031,0.0,0.0,3.005653077359227e-05,0.0,0.0,3.005653077359227e-05,0.0,0.0,3.005653077359227e-05,0.0,0.0,3.005653077359227e-05
0.032,0.0,0.0,2.4030111200445958e-05,0.0,0.0,2.4030111200445958e-05,0.0,0.0,2.4030111200445958e-05,0.0,0.0,2.4030111200445958e-05
0.033,0.0,0.0,1.9212005812008215e-05,0.0,0.0,1.9212005812008215e-05,0.0,0.0,1.9212005812008215e-05,0.0,0.0,1.9212005812008215e-05
0.034,0.0,0.0,1.535994421786313e-05,0.0,0.0,1.535994421786313e-05,0.0,0.0,1.535994421786313e-05,0.0,0.0,1.535994421786313e-05
0.035,0.0,0.0,1.2280231880268389e-05,0.0,0.0,1.2280231880268389e-05,0.0,0.0,1.2280231880268389e-05,0.0,0.0,1.2280231880268389e-05
0.036,0.0,0.0,9.818010600071148e-06,0.0,0.0,9.818010600071148e-06,0.0,0.0,9.818010600071148e-06,0.0,0.0,9.818010600071148e-06
