time,phi_r,phi_l,trq_r,trq_l
1.001,-7.087319149334803e-07,7.087321606734624e-07,2.126195845585476,-2.1261965945148944
1.002,0.01570663349426043,0.015708054682100993,33.11394453191943,26.170657731547596
1.003,0.030943080761365677,0.030944463415763866,2.299378397808058,1.736060328559599
1.004,0.045722289560582996,0.04572366362079982,19.96601084488726,15.378351677275159
1.005,0.05774898352015688,0.06005879301286458,102.84113082367146,84.55763543025091
1.006,0.07172369244006041,0.07396437134295793,57.44009939378037,38.100278405896475
1.007,0.08527959792634113,0.0874531034858216,14.342945669311481,9.159669422999075
1.008,0.0984289837408833,0.10053728693465183,1.7639591243175453e-05,0.00033741809992474825
1.009,0.11118390457585525,0.11322896122565643,-0.003936482642685248,-0.002956312116281864
1.01,0.12355619289065099,0.12553990017060596,-0.0035122239356656848,-0.002696045158630901
1.011,0.13555666564851274,0.13748112529225548,67.6967566334642,38.44371171126686
1.012,0.1471977385064679,0.14906448780613543,6.0380950491904235,3.613093625177864
1.013,0.1584896496272901,0.16030039822027875,-0.00160290950888771,-0.0011471579363671143
1.014,0.1694428139118308,0.17119924166302003,-0.003039833262309699,-0.0023943263194738653
1.015,0.18006705417536892,0.1817709305722056,34.59274678987509,19.205889967121596
1.016,0.19037291451741026,0.192025675980839,0.006998807099245219,0.005847476559781197
1.017,0.20036960711254725,0.20197278696053098,-0.00262860964926807,-0.002118284062459407
1.018,0.21006640620034492,0.2116214917743177,-0.002388478381676206,-0.0019530594097107495
1.019,0.21947217274700279,0.22098071546733292,13.71296574523217,2.50090707587861
1.02,0.228595853593397,0.23005917756339278,5.47731698164105,1.6670497467401126
1.021,0.23744587754809657,0.23886531663913074,0.5914239846802171,-0.7974793563337801
1.022,0.24603044519346828,0.24740729922045282,-3.4127446664996635,-3.0076989711226045
1.023,0.25435750514469985,0.25569305053622654,-5.934948570027613,-5.327237494649775
1.024,0.26243471711996325,0.2637302952672895,-1.9200068593704465,-11.449980746084204
1.025,0.2702696698153028,0.27152641560587953,-7.2801555302795204,-10.354865573125211
1.026,0.27786960218429524,0.2790886548457446,-9.772379396435017,-10.253567087884084
1.027,0.28524155461223466,0.2864240282545767,-11.261684890907658,-10.073276031042544
1.028,0.2923923552005364,0.2935393431904106,-11.640612687872725,-10.062944978484804
1.029,0.2993286350240272,0.30044119851252826,-11.691746680464947,-9.793074013120021
1.03,0.3060568244935074,0.30713599772928757,-11.241073838943585,-9.520310981571582
1.031,0.3125831616370833,0.31362995303492713,-10.341030093624365,-9.320375959956671
1.032,0.3189137065046392,0.31992908469781023,-9.908540421592654,-8.637175040619935
1.033,0.3250543131159471,0.32603924912657606,-7.515503419809035,-9.135927454265165
1.034,0.3310106692212242,0.33196612177514057,-4.099122761399715,-10.28972200294633
1.035,0.33678834339057634,0.337715177073707,-4.811227455342662,-9.035541886951874
1.036,0.34239270160157803,0.34329174490778014,-6.0892089266618425,-7.3328479205297405
1.037,0.34782892872722676,0.34870100877062776,-5.9169658484889505,-6.524803149084165
1.038,0.3531020675776415,0.35394798891207424,-5.644481436411752,-5.839423133686625
1.039,0.3582170077950278,0.35903755657861963,-5.08242621900317,-5.435388136463473
1.04,0.3631784965944638,0.36397443427373766,-4.656669415706046,-5.052381333273202
1.041,0.36799113772315784,0.36876320343739805,-4.260982436111131,-4.750649757523146
1.042,0.3726593969035281,0.37340830799950014,-3.903302305966621,-4.522892390361018
1.043,0.37718760596596734,0.3779140584420858,-3.590787974852804,-4.355618300207342
1.044,0.3815799682054152,0.38228463486678194,-3.4647338784833943,-4.14216059521852
1.045,0.385840552722116,0.3865240969871012,-2.714101681565783,-4.381718048554322
1.046,0.38997332275702584,0.3906363726539654,-2.96135594375605,-4.070252693432465
1.047,0.39398210323098937,0.39462528322481905,-2.261483067282118,-4.337768874461968
1.048,0.39787061402064394,0.3984945295322028,-1.585507660238026,-4.597351601051306
1.049,0.4016424608137279,0.40224770365658824,-0.6736296408339214,-5.0752606751503
1.05,0.4053011668781917,0.40588827491805035,-2.1024631478863176,-4.276582009074826
1.051,0.40885011533512594,0.40941962674671056,-2.423135070430355,-4.014180905654072
1.052,0.41229259790723727,0.41284503593231947,-2.6461555457176025,-3.7754790799953626
1.053,0.4156318044282198,0.41616768297782286,-2.457417200040466,-3.7612019151367386
1.054,0.41887083466914776,0.41939064987920294,-2.4204225622835795,-3.662837183624897
1.055,0.42201269345098963,0.4225169272469144,-2.339067839802452,-3.5872922603605764
1.056,0.42506029628198966,0.4255494155205727,-2.29640252655347,-3.4892428926206227
1.057,0.42801646918820635,0.4284909293109191,-2.0904297096418394,-3.4865857195284096
1.058,0.43088395614872393,0.431344197290526,-1.994555750119139,-3.4295818264347604
1.059,0.43366541766868805,0.4341118668774085,-1.8930647961502494,-3.378491255396678
1.06,0.43636343448777537,0.4367965060460145,-1.7907803091844368,-3.3310750420837762
1.061,0.43898050994884125,0.43940060572022005,-1.6901097936175797,-3.2860779447353647
1.062,0.44151907230673093,0.4419265820900133,-1.592157989183063,-3.242770559029356
1.063,0.44398147697360674,0.4443767788563065,-1.4973089017141514,-3.2007106472405735
1.064,0.4463700094749382,0.4467534689829514,-1.4830585912517253,-3.117305597740267
1.065,0.448686883989051,0.449058858729673,-1.2710358072586696,-3.1406015132180514
1.066,0.45093425258106945,0.4512950859228573,-1.2926092525819808,-3.0464636578911466
1.067,0.4531141990413676,0.4534642261436025,-1.1761984334143345,-3.02336885248347
1.068,0.45522874519812306,0.45556829243601404,-0.9769480544638862,-3.0443324312893494
1.069,0.4572798546566457,0.4576092362224152,-0.9381032381832501,-2.9865167199334244
1.07,0.459269430289753,0.4595889512552786,-0.8770562242902941,-2.936976964476766
1.071,0.4611993207424361,0.46150927317982554,-1.0797105229919879,-2.766480536566814
1.072,0.46307130558599274,0.46337198886143854,-0.1839928371370381,-3.1026371711522476
1.073,0.4648871358898445,0.46517881999367044,-0.6795620466927766,-2.791036862579301
1.074,0.4666484837930124,0.46693144863373476,0.07472883551965698,-3.030859623383094
1.075,0.46835699726265484,0.46863149506547475,-0.5215068973721827,-2.693035125574426
1.076,0.4700142553417957,0.47028053921623575,-0.5187573989073123,-2.601256126718702
1.077,0.4716217953246319,0.47188011130772906,-0.4795729338407744,-2.5250723191905777
1.078,0.47318110855699963,0.4734316956076035,-0.42098826695466024,-2.459716657341553
1.079,0.47469364064489983,0.4749367324434109,-0.2430191468216427,-2.4638598299914674
1.08,0.4761607974401275,0.4763966171553034,-0.307147354556268,-2.360013401931078
1.081,0.4775839385073752,0.4778127051478256,-0.20205369648109903,-2.3403158735783967
1.082,0.47896438459551666,0.4791863102721261,-0.12490913356309342,-2.3157514823200045
1.083,0.4803034167485405,0.48051870698522026,-0.0674448600252265,-2.28844580487705
1.084,0.4816022754397827,0.4818111326099083,0.1843373288606232,-2.368170177566571
1.085,0.4828621692316392,0.4830647847211345,0.09998928038115372,-2.2924677265077715
1.086,0.4840842664509054,0.4842808267546474,0.07754523883292483,-2.2399009695593106
1.087,0.4852697007751708,0.48546038705336236,0.0769378014342832,-2.191505367597811
1.088,0.4864195717237505,0.4866045602761465,0.11296592766649761,-2.1638697054614657
1.089,0.4875349461159597,0.4877144081300824,0.15707155411722065,-2.145794277032101
1.09,0.4886168589660021,0.4887909603060772,0.18931399380969022,-2.1207941374351584
1.091,0.48966631409185046,0.48983521570229327,0.22428795183147313,-2.098649631582744
1.092,0.49068428521872587,0.49084814324116444,0.2598216321310866,-2.0784758447347667
1.093,0.49167171687091055,0.49183068277225955,0.2948401572822617,-2.0597478478794593
1.094,0.4926295252426916,0.4927837459466189,0.3287779886029738,-2.042156743731954
1.095,0.4935585986800676,0.49370821723666436,0.3978914711217711,-2.0427685648122447
1.096,0.49445980037703324,0.49460495386449643,0.35232515232824696,-1.9900410653745115
1.097,0.495333965716125,0.4954747882385538,0.3836875793080554,-1.974180141769707
1.098,0.4961819048017711,0.4963185278939888,0.5136402254544974,-2.005062977585765
1.099,0.49700440611767743,0.4971369549345495,0.4738984165387251,-1.9622681893280483
1.1,0.4978022318683164,0.49793082912986286,0.5269964446008166,-1.9585886000922226
1.101,0.49857612269424256,0.4987008869230341,0.5426846864381555,-1.9407263869838307
1.102,0.49932679681263203,0.4994478427381567,0.5413919681721205,-1.9160996462967264
1.103,0.5000549503567198,0.5001723897867977,0.5768705467805865,-1.9067080922077833
1.104,0.5007612589992492,0.5008752003196122,0.6067649206748897,-1.8961049433848491
1.105,0.5014463779055632,0.501556926513878,0.6548030460447436,-1.8936924921715235
1.106,0.5021109432366139,0.5022182006972655,0.6559201733203859,-1.8710654070352428
1.107,0.5027555714798868,0.5028596365198584,0.6689920532944766,-1.8574253097877897
1.108,0.5033808605954605,0.5034818291789747,0.6973004855032311,-1.848444263707281
1.109,0.503987390795894,0.5040853559626565,0.7217145482320305,-1.838790901544867
1.11,0.5045757248701626,0.504670776844372,0.7439567628114409,-1.8288690465736555
1.111,0.5051464087175905,0.5052386350011505,0.7646275932685919,-1.8189553542215806
1.112,0.5056999718552749,0.5057894573158852,0.7842523788919967,-1.809164254548585
1.113,0.5062369279123534,0.5063237548656058,0.8030788347236786,-1.799560019975576
1.114,0.5067577751076919,0.5068420233953826,0.8212468763512614,-1.7901746377769037
1.115,0.5072629967127952,0.5073447437780931,0.8388368333070632,-1.7810230473184223
1.116,0.5077530615005653,0.5078323824604792,0.8558961442660147,-1.7721112869051237
1.117,0.5082284241804261,0.5083053918959161,0.8724541762671694,-1.7634407847537623
1.118,0.5086895258203421,0.5087642109641595,0.8885304628832951,-1.7550105741788051
1.119,0.5091367942560882,0.5092092653785638,0.9041393057439594,-1.7468183994429614
1.12,0.5095706444882722,0.5096409680810673,0.9192923413703615,-1.7388612484172061
1.121,0.509991479067377,0.5100597196252926,0.9339999675187434,-1.7311355977172451
1.122,0.5103996884672779,0.5104659085482447,0.9482721230999573,-1.7236375224590346
1.123,0.5107956514475429,0.5108599117307722,0.9621187017320169,-1.7163627463291726
1.124,0.5111797354048577,0.5112420947472448,0.9755497400863634,-1.7093066797319614
1.125,0.5115522967139062,0.5116128122047673,0.9885754957679944,-1.7024644477721815
1.126,0.5119136810580436,0.5119724080721795,1.001206445953896,-1.695830936345274
1.127,0.5122642237500064,0.5123212159991889,1.0134532375512055,-1.6894008303715624
1.128,0.512604250043045,0.5126595596259944,1.0253266259881646,-1.6831686629944353
1.129,0.5129340754327225,0.5129877528835067,1.0368374245994607,-1.6771288767070016
1.13,0.5132540059496173,0.5133061002846588,1.0479963967140546,-1.6712758583980207
1.131,0.51356433844329,0.5136148972069484,1.0588142280868316,-1.6656040017808544
1.132,0.5138653608577118,0.5139144301664935,1.069301440757416,-1.6601077373742292
1.133,0.5141573524984364,0.5142049770838647,1.0794683479551772,-1.6547815737200033
1.134,0.5144405842917478,0.5144868075419677,1.089325028947189,-1.6496201305848472
1.135,0.51471531903605,0.5147601830361757,1.098881282803777,-1.6446181585072464
1.136,0.5149818116456958,0.515025357216951,1.1081466144954681,-1.639770556940218
1.137,0.5152403093875179,0.5152825761251894,1.117130220764373,-1.6350723871016393
1.138,0.5154910521102749,0.5155320784205047,1.1258409837387249,-1.6305188784340185
1.139,0.5157342724673499,0.5157740956027369,1.1342675153235768,-1.6261108129216815
1.14,0.5159701960008678,0.5160088522752025,1.1555780123466866,-1.6266920415578527
1.141,0.516199041955863,0.5162365661275026,1.1428522673292754,-1.6147093514750004
1.142,0.5164210222911991,0.5164574485826774,1.166976292905362,-1.6165661708164956
1.143,0.5166363433196721,0.5166717044567842,1.1566763959511563,-1.6058397985050767
1.144,0.5168452044638366,0.5168795326856671,1.1820423499329828,-1.6089519024867658
1.145,0.5170477998905116,0.5170811259555113,1.1703766554296418,-1.5977503114415907
1.146,0.517244317218463,0.5172766714513123,1.193987111912281,-1.6001668200506312
1.147,0.5174349391154841,0.5174663504893489,1.1851119837767408,-1.5908926704498811
1.148,0.5176198422441762,0.5176503391394066,1.1962688691930088,-1.5892212660410039
1.149,0.51779919819297,0.5178288081070633,1.2048870860966234,-1.5869439403161856
1.15,0.517973173391681,0.5180019229800334,1.2120627988809243,-1.5843903221991498
1.151,0.5181419292713101,0.5181698443800922,1.218388190193547,-1.5817298764129148
1.152,0.5183056224167725,0.5183327281112605,1.2241773474946183,-1.5790534353534742
1.153,0.518464404713348,0.5184907253038195,1.2296417030599889,-1.5763970927664344
1.154,0.5186184234888073,0.5186439825543296,1.2348742004019888,-1.5737810910106511
1.155,0.5187678216508096,0.5187926420616235,1.239903692693021,-1.571221984562507
1.156,0.518912737819279,0.5189368417585678,1.2447804799193212,-1.568720582053032
1.157,0.5190533064553702,0.5190767154400735,1.249521791054665,-1.5662779850686948
1.158,0.5191896579864215,0.5192123928872241,1.25412694082772,-1.5638976208299837
1.159,0.5193219189265308,0.5193439999875846,1.2586357836288888,-1.5615700488601107
1.16,0.5194502119104891,0.5194716588813053,1.2714386854349313,-1.5622157942301507
1.161,0.5195746561267264,0.5195954879571557,1.2692666314700691,-1.557120545337131
1.162,0.5196953670566232,0.5197156021124613,1.2652584090579655,-1.5523032739230038
1.163,0.5198124565856691,0.5198321128326338,1.272560841643151,-1.5512650236145107
1.164,0.5199260332872665,0.5199451282488593,1.2867246539204762,-1.5530386888640082
1.165,0.5200362027761383,0.5200547531343136,1.2778985606319515,-1.546219660550634
1.166,0.5201430670328002,0.520161089294555,1.2926594603061803,-1.5483626729080804
1.167,0.5202467253608439,0.5202642353373556,1.2927564323136669,-1.5451070370475506
1.168,0.520347273996522,0.5203642869444908,1.2870141601844463,-1.5396776134527639
1.169,0.5204448060999377,0.5204613369995185,1.2943382701908885,-1.5392957423797058
1.17,0.5205394121875698,0.5205554755437107,1.299611432153502,-1.5383851874636143
1.171,0.5206311800511165,0.5206467899197877,1.3037615509408653,-1.537213193873056
1.172,0.5207201948439677,0.5207353648516772,1.3072447877590447,-1.5359298045802958
1.173,0.5208065391619143,0.5208212825222447,1.310360420864198,-1.5345999878412109
1.174,0.5208902931216473,0.5209046226492953,1.313232077326942,-1.5332666026648503
1.175,0.5209715344354375,0.5209854625592732,1.315950750099023,-1.5319458637417505
1.176,0.5210503384837503,0.5210638772588779,1.318561340852077,-1.5306460871982872
1.177,0.5211267783853772,0.5211399395046862,1.3210885992268524,-1.5293709240399134
1.178,0.521200925065412,0.5212137198705761,1.3235460095057636,-1.5281218896123137
1.179,0.5212728472796089,0.5212852868229586,1.3300929043126373,-1.527874864171354
1.18,0.5213426118682981,0.5213547067357763,1.3260037811623757,-1.5247811294516889
1.181,0.5214102834847859,0.5214220440432421,1.329461563125952,-1.5239896522014724
1.182,0.5214759249244136,0.5214873612220836,1.3323008150988653,-1.5230554371253222
1.183,0.5215395970490196,0.5215507188905841,1.339486622023721,-1.5235620911048826
1.184,0.5216013590610874,0.5216121757931801,1.3343689129334453,-1.519982715483053
1.185,0.5216612681778263,0.5216717889829077,1.3378686411536964,-1.5194076065217508
1.186,0.5217193799937067,0.5217296137693195,1.3406065877946443,-1.5186510889322855
1.187,0.5217757484319724,0.5217857038036913,1.3429224125209258,-1.5178096498320646
1.188,0.521830425796582,0.5218401111282804,1.3449755622745192,-1.5169391650798119
1.189,0.5218834628333956,0.5218928862169613,1.3456635433938227,-1.5153262564455334
1.19,0.5219349087215918,0.5219440780545318,1.3494167957614553,-1.5154850866488674
1.191,0.5219848112199734,0.521993734127292,1.3507357646811036,-1.5145202603594348
1.192,0.522033216629095,0.5220419005089441,1.3521685959537866,-1.5136316939798755
1.193,0.5220801698611922,0.5220886218907266,1.3536455525692077,-1.5127931872886629
1.194,0.5221257144415573,0.5221339416372772,1.3591238979598965,-1.5134194134481176
1.195,0.5221698927329961,0.5221779017603019,1.3542771133908778,-1.5103092656590886
1.196,0.5222127456944909,0.5222205430601976,1.3523989146685247,-1.5083688426187107
1.197,0.5222543129758376,0.5222619051415978,1.3615314294858192,-1.5104227288166439
1.198,0.5222946332351115,0.5223020263504677,1.3618955318215538,-1.509416650646069
1.199,0.5223337438880973,0.5223409439089519,1.3617478199847668,-1.5080080985691044
1.2,0.5223716811665208,0.5223786939500628,1.3672466288854512,-1.5089492323019478
1.201,0.5224084803648786,0.5224153114664188,1.3634193128732386,-1.506599742476352
1.202,0.5224441755688373,0.5224508304530254,1.365265962471543,-1.5061761377515166
1.203,0.5224787998704824,0.5224852838760129,1.3698860895567408,-1.506777657020556
1.204,0.5225123854788771,0.522518703672975,1.3663074949322873,-1.504446305632188
1.205,0.5225449634977537,0.5225511208735526,1.3684353365275659,-1.5042018203946448
1.206,0.5225765641599823,0.5225825655543657,1.3700445053747674,-1.5038289029425973
1.207,0.5226072167957988,0.5226130668863819,1.3707004008962813,-1.5029941649121672
1.208,0.5226369498303042,0.5226426531793933,1.3729253115274913,-1.5030918943490583
1.209,0.5226657908654977,0.5226713518783394,1.3737534954719182,-1.5025669167596678
1.21,0.5226937666610701,0.5226991896113805,1.3746112961185872,-1.5020756525989127
1.211,0.5227209031741811,0.5227261922077433,1.3754718450836378,-1.50160895885381
1.212,0.5227472255631179,0.5227523847275651,1.3783510286267957,-1.5017452859080767
1.213,0.5227727583036144,0.5227777914570048,1.3760287066361758,-1.500268989564674
1.214,0.5227975250279865,0.5228024359881406,1.3794208205292746,-1.5006289407081654
1.215,0.5228215487969606,0.5228263411608809,1.3747882489380019,-1.4983839310997935
1.216,0.5228448517961949,0.5228495291917287,1.3804561726580151,-1.4997152803995155
1.217,0.5228674557017713,0.5228720215766632,1.3808247477618423,-1.4992186814784332
1.218,0.5228893814849549,0.5228938391857375,1.381348414112065,-1.4987884510071932
1.219,0.5229106494714753,0.5229150022676727,1.3836661112206499,-1.4989039011624805
1.22,0.5229312794259612,0.5229355304471113,1.3829098988234734,-1.4979015519718
1.221,0.5229512904904743,0.5229554427737715,1.3820450147036203,-1.4971635881830885
1.222,0.522970701210434,0.5229747577293122,1.3833070917177301,-1.4970326379498762
1.223,0.5229895295992758,0.5229934932340556,1.3842598453590587,-1.4968212411977961
1.224,0.5230077931113025,0.5230116666771693,1.3867751659065295,-1.4971740616779259
1.225,0.5230255087385951,0.5230292949043559,1.3847132163928195,-1.4959118661614403
1.226,0.5230426928717876,0.5230463942877266,1.3872420467891848,-1.4962132290082975
1.227,0.5230593614808653,0.5230629806845174,1.3872545336503999,-1.495706707266765
1.228,0.523075530041973,0.52307906948147,1.3862249908110114,-1.494914549208215
1.229,0.5230912135380569,0.5230946756118576,1.387044551864478,-1.4946501385176916
1.23,0.5231064265145102,0.5231098135602142,1.3885193886621894,-1.494838944564059
1.231,0.5231211830962402,0.523124497368011,1.389063128239371,-1.4946294442076005
1.232,0.5231354969756048,0.5231387406594227,1.3895545789049555,-1.494415738904977
1.233,0.5231493814340078,0.5231525566499543,1.3900132627882154,-1.4942022691241257
1.234,0.5231628493542985,0.5231659581586444,1.3904503324258342,-1.4939912094168266
1.235,0.5231759132327602,0.5231789576199886,1.390871938985861,-1.4937835130719392
1.236,0.5231885851907859,0.5231915670954396,1.3912814378147393,-1.4935795662785827
1.237,0.5232008769860587,0.5232037982846102,1.3916825245354743,-1.493378654783563
1.238,0.5232128000236056,0.52321566253615,1.3920697637822979,-1.4931834235148467
1.239,0.523224365366224,0.5232271708582114,1.3924507118038374,-1.492991417250904
1.24,0.5232355837358235,0.5232383339311633,1.3937246311229046,-1.4930470017265285
1.241,0.5232464655647414,0.5232491621056169,1.3926846648345879,-1.4924177725146046
1.242,0.5232570209326584,0.5232596654338609,1.3932984730050795,-1.4923206245413512
1.243,0.5232672596347308,0.5232698536609517,1.3937790770407872,-1.4921906316897375
1.244,0.5232771911716911,0.5232797362397642,1.3941846431677978,-1.4920455162233126
1.245,0.5232868247589375,0.5232893223397002,1.3945454339410186,-1.4918946072421062
1.246,0.5232961693455583,0.5232986208518713,1.3938462289632116,-1.4914184069362744
