time,A_phi_r,A_phi_l,A_trq_r,A_trq_l,A_dist,B_phi_r,B_phi_l,B_trq_r,B_trq_l,B_dist,C_phi_r,C_phi_l,C_trq_r,C_trq_l,C_dist,D_phi_r,D_phi_l,D_trq_r,D_trq_l,D_dist,pos_x,pos_y,pos_z,ori_x,ori_y,ori_z,ori_w,vel_x,vel_y,vel_z,vel_rx,vel_ry,vel_rz,acc_x,acc_y,acc_z
1.001,-7.55285e-07,7.55071e-07,2.26585,-2.26521,0.1119,-7.5496e-07,7.55172e-07,2.26488,-2.26552,0.1119,-7.55188e-07,7.55404e-07,2.26556,-2.26621,0.1119,-7.55057e-07,7.54843e-07,2.26517,-2.26453,0.1119,-0.0300007,6.22627e-08,0.112983,1.28927e-07,-1.43865e-07,5.83954e-07,1,-1.16608e-06,-3.7815e-10,-1.71942e-13,-6.6539e-14,2.28991e-12,3.06856e-08,2.01152e-06,2.52996e-06,-6.39666e-12
1.002,3.27602e-05,2.11444e-05,2.36656,-2.20006,0.1119,8.23707e-05,7.52062e-05,2.52352,-2.0268,0.1119,1.90379e-05,1.18753e-05,2.38857,-2.29677,0.1119,7.30998e-05,6.14848e-05,2.56279,-2.13822,0.1119,-0.0300007,6.22623e-08,0.112983,3.11374e-07,-6.45625e-07,5.83501e-07,1,-3.45223e-05,3.16983e-08,0.000187415,0.000364894,-0.00100352,-9.06976e-07,-0.0333433,3.83486e-05,0.187415
1.003,0.000132302,8.17014e-05,2.48368,-2.13817,0.111901,0.000329256,0.000296328,2.80732,-1.78132,0.111901,7.78243e-05,4.49016e-05,2.56043,-2.36761,0.1119,0.000292451,0.000241855,2.91992,-2.04352,0.1119,-0.0300007,6.22619e-08,0.112983,9.05486e-07,-1.86072e-06,5.8207e-07,1,-6.99286e-05,1.03185e-07,0.000679502,0.00118822,-0.00243018,-2.86177e-06,-0.035368,9.02012e-05,0.492087
1.004,0.00029589,0.000181222,2.51258,-2.15491,0.111903,0.000734991,0.000659723,2.83673,-1.78732,0.111903,0.000174435,9.91769e-05,2.63643,-2.43443,0.1119,0.000652936,0.000538276,3.00483,-2.10747,0.111901,-0.0300007,6.22616e-08,0.112985,1.94427e-06,-3.30289e-06,5.7955e-07,1,-6.99921e-05,1.79463e-07,0.00137238,0.00207757,-0.00288435,-5.04003e-06,5.91718e-06,0.000117137,0.69288
1.005,0.000521604,0.000318537,2.53047,-2.1783,0.111906,0.00129481,0.00116112,2.83735,-1.81254,0.111905,0.000307736,0.000174064,2.67797,-2.47645,0.111902,0.00115032,0.000947268,3.03205,-2.15549,0.111903,-0.0300007,6.22612e-08,0.112987,3.43297e-06,-4.67888e-06,5.75725e-07,1,-6.62312e-05,2.55943e-07,0.00218694,0.00297739,-0.00275199,-7.65494e-06,0.00386029,0.000149441,0.814555
1.006,0.000807579,0.000492512,2.54251,-2.20026,0.11191,0.00200409,0.00179639,2.83256,-1.84042,0.111909,0.000476626,0.000268943,2.69457,-2.4981,0.111904,0.0017805,0.00146545,3.03968,-2.19065,0.111906,-0.0300007,6.22608e-08,0.11299,5.35342e-06,-5.84817e-06,5.70627e-07,1,-6.344e-05,3.28663e-07,0.0030766,0.0038409,-0.00233859,-1.02062e-05,0.00291638,0.000187293,0.889659
1.007,0.00115201,0.000702049,2.54738,-2.21735,0.111915,0.00285835,0.0025615,2.81833,-1.86159,0.111913,0.000680038,0.000383216,2.69772,-2.5081,0.111908,0.00253949,0.00208956,3.01727,-2.1999,0.11191,-0.0300007,6.22604e-08,0.112993,7.70075e-06,-6.79964e-06,5.64067e-07,1,-6.19717e-05,3.99204e-07,0.00398173,0.00469465,-0.00190293,-1.31365e-05,0.00161397,0.000235586,0.905138
1.008,0.00155314,0.00094608,2.55421,-2.2355,0.111921,0.00385324,0.00345257,2.79506,-1.87345,0.111917,0.000916937,0.000516299,2.69689,-2.51375,0.111912,0.00342343,0.0028164,2.9946,-2.2066,0.111915,-0.0300007,6.226e-08,0.112998,1.04749e-05,-7.51178e-06,5.56175e-07,1,-6.18717e-05,4.6902e-07,0.00488928,0.00554835,-0.00142428,-1.58105e-05,0.000261036,0.000294363,0.907545
1.009,0.00200926,0.00122357,2.5553,-2.24875,0.111927,0.00498453,0.00446581,2.75723,-1.87157,0.111923,0.00118632,0.00066763,2.6907,-2.51441,0.111917,0.00442856,0.0036429,2.95368,-2.19589,0.111921,-0.0300007,6.22596e-08,0.113003,1.37259e-05,-7.97883e-06,5.4683e-07,1,-6.26814e-05,5.45867e-07,0.00575227,0.006502,-0.000934103,-1.87293e-05,-0.000639373,0.00036986,0.862995
1.01,0.00251874,0.00153351,2.55612,-2.26362,0.111935,0.00624815,0.00559757,2.74337,-1.89085,0.111929,0.0014872,0.00083666,2.68133,-2.51354,0.111923,0.00555126,0.00456606,2.91358,-2.18861,0.111928,-0.0300007,6.22592e-08,0.11301,1.71895e-05,-8.32346e-06,5.35663e-07,1,-6.40667e-05,5.75276e-07,0.00659692,0.00692708,-0.000689273,-2.23807e-05,-0.00120797,0.000395714,0.844647
1.011,0.00307997,0.00187494,2.56022,-2.27784,0.111943,0.00764011,0.00684427,2.67864,-1.86051,0.111936,0.00181865,0.00102286,2.68038,-2.51875,0.111929,0.00678799,0.005583,2.86384,-2.16571,0.111936,-0.0300007,6.22588e-08,0.113017,2.11877e-05,-8.43627e-06,5.23089e-07,1,-6.62602e-05,6.59715e-07,0.00736307,0.00799646,-0.000225622,-2.52094e-05,-0.00201507,0.000532631,0.766146
1.012,0.00369139,0.00224691,2.56487,-2.29539,0.111951,0.00915658,0.00820248,2.62426,-1.84134,0.111943,0.00217975,0.00122571,2.68066,-2.52658,0.111937,0.00813534,0.00669088,2.79417,-2.12717,0.111945,-0.0300007,6.22584e-08,0.113024,2.56238e-05,-8.35834e-06,5.08756e-07,1,-6.85381e-05,7.2405e-07,0.00804742,0.00887214,0.000155845,-2.87443e-05,-0.0021025,0.000602164,0.684356
1.013,0.0043515,0.00264849,2.58096,-2.32282,0.111961,0.0107938,0.00966886,2.58319,-1.8322,0.111951,0.0025696,0.00144471,2.68731,-2.53991,0.111945,0.00958998,0.007887,2.74703,-2.10769,0.111954,-0.0300007,6.2258e-08,0.113032,3.05168e-05,-8.11535e-06,4.92699e-07,1,-7.11376e-05,7.90194e-07,0.00870519,0.00978608,0.000485989,-3.22099e-05,-0.00242956,0.00070505,0.65777
