Time,A_phi_r,A_phi_l,A_trq_r,A_trq_l,B_phi_r,B_phi_l,B_trq_r,B_trq_l,C_phi_r,C_phi_l,C_trq_r,C_trq_l,D_phi_r,D_phi_l,D_trq_r,D_trq_l,
1.001,-2.57318e-06,2.16635e-06,0,0,-2.15108e-06,2.5564e-06,0,0,-2.15354e-06,2.55675e-06,0,0,-2.57163e-06,2.1639e-06,0,0,
1.002,-2.57192e-06,2.16668e-06,0,0,-2.15144e-06,2.55519e-06,0,0,-2.15386e-06,2.55551e-06,0,0,-2.57039e-06,2.16426e-06,0,0,
1.003,-2.57066e-06,2.167e-06,0,0,-2.15179e-06,2.55399e-06,0,0,-2.15417e-06,2.55428e-06,0,0,-2.56915e-06,2.16462e-06,0,0,
1.004,-2.56942e-06,2.16732e-06,0,0,-2.15215e-06,2.5528e-06,0,0,-2.15448e-06,2.55306e-06,0,0,-2.56793e-06,2.16498e-06,0,0,
1.005,-2.56818e-06,2.16765e-06,0,0,-2.1525e-06,2.55161e-06,0,0,-2.1548e-06,2.55185e-06,0,0,-2.56672e-06,2.16533e-06,0,0,
1.006,-2.56696e-06,2.16797e-06,0,0,-2.15286e-06,2.55044e-06,0,0,-2.15511e-06,2.55065e-06,0,0,-2.56552e-06,2.16569e-06,0,0,
1.007,-2.56574e-06,2.1683e-06,0,0,-2.15321e-06,2.54927e-06,0,0,-2.15543e-06,2.54946e-06,0,0,-2.56433e-06,2.16605e-06,0,0,
1.008,-2.56453e-06,2.16862e-06,0,0,-2.15356e-06,2.54812e-06,0,0,-2.15574e-06,2.54827e-06,0,0,-2.56314e-06,2.16641e-06,0,0,
1.009,-2.56334e-06,2.16894e-06,0,0,-2.15391e-06,2.54697e-06,0,0,-2.15605e-06,2.5471e-06,0,0,-2.56197e-06,2.16676e-06,0,0,
1.01,-2.56215e-06,2.16927e-06,0,0,-2.15427e-06,2.54583e-06,0,0,-2.15637e-06,2.54594e-06,0,0,-2.5608e-06,2.16712e-06,0,0,
1.011,-2.56097e-06,2.16959e-06,0,0,-2.15462e-06,2.5447e-06,0,0,-2.15668e-06,2.54478e-06,0,0,-2.55964e-06,2.16747e-06,0,0,
1.012,-2.5598e-06,2.16991e-06,0,0,-2.15497e-06,2.54358e-06,0,0,-2.15699e-06,2.54364e-06,0,0,-2.5585e-06,2.16783e-06,0,0,
1.013,-2.55864e-06,2.17023e-06,0,0,-2.15532e-06,2.54247e-06,0,0,-2.15731e-06,2.5425e-06,0,0,-2.55736e-06,2.16818e-06,0,0,
1.014,-2.55749e-06,2.17055e-06,0,0,-2.15567e-06,2.54136e-06,0,0,-2.15762e-06,2.54137e-06,0,0,-2.55623e-06,2.16853e-06,0,0,
1.015,-2.55635e-06,2.17087e-06,0,0,-2.15601e-06,2.54027e-06,0,0,-2.15793e-06,2.54025e-06,0,0,-2.5551e-06,2.16888e-06,0,0,
