Time,phi_r,phi_l,trq_r,trq_l
1.001,-2.318933273848245e-06,2.1970294878076343e-06,2.309892905555219,-2.20665256230516
1.002,-2.3188421007002705e-06,2.1971265501499825e-06,2.309815870075872,-2.2067357217665053
1.003,6.407381220616684e-06,-6.5289013926779595e-06,2.361144298365929,-2.258965734544188
1.004,2.3772704837747895e-05,-2.3894003602364933e-05,2.3895255679111065,-2.290141646331604
1.005,4.9690767734450415e-05,-4.981180347218839e-05,2.414908276899272,-2.319905956473877
1.006,8.407607786699642e-05,-8.419679275828429e-05,2.4367556999317785,-2.347796954184451
1.007,0.00012684400310692125,-0.00012696432262870871,2.4545685331912654,-2.3733818165135503
1.008,0.0001779107604419452,-0.00017803059320264936,2.468066931819925,-2.396414411396938
1.009,0.00023719340554482465,-0.00023731264340920433,2.4771655857913104,-2.416813465759953
1.01,0.0003046098227636272,-0.00030472834122985404,2.4819408568722756,-2.434634750211316
1.011,0.00038007871555484644,-0.00038019637432018527,2.48259775115883,-2.4500431665120663
1.012,0.00046351959731727455,-0.0004636362409833339,2.479438253689296,-2.463285983839045
1.013,0.0005548527826218728,-0.0005549682414924817,2.4728319658560354,-2.47466801852295
1.014,0.0006539993787816914,-0.0006541134697188866,2.4631897103883658,-2.4845293203869203
1.015,0.0007608812777494437,-0.0007609938050343601,2.4509405330365355,-2.4932257293134192
1.016,0.0008754211482756356,-0.0008755319044677634,2.43651232297213,-2.501112490458254
1.017,0.000997542428314705,-0.000997651195060456,2.420316097980908,-2.508530967195086
1.018,0.0011271693176205715,-0.0011272758664144789,2.402733855163927,-2.515798367977679
1.019,0.001264226770509543,-0.0012643308633784045,2.3841097736707293,-2.5232003068119013
1.02,0.0014086404887450243,-0.0014087418788610861,2.3647444710388497,-2.530985944703395
1.021,0.001560336914536172,-0.001560435346741329,2.3448919565365687,-2.5393654108094563
1.022,0.0017192432235999364,-0.0017193384348548335,2.324758891241001,-2.548509172742388
1.023,0.0018852873182948504,-0.0018853790380406465,2.304505751157135,-2.558549015121329
1.024,0.0020583978207827213,-0.0020584857712373505,2.284249494471327,-2.5695802884334484
1.025,0.002238504066234051,-0.002238587962611227,2.264067352165065,-2.581665106611827
1.026,0.0024255360960451196,-0.0024256156467208356,2.244001390564846,-2.594836195887014
1.027,0.0026194246510798744,-0.0026194995577046853,2.224063531258203,-2.609101129092239
1.028,0.0028201011649236986,-0.0028201711224902226,2.204240755486284,-2.6244467145440873
1.029,0.0030274977571531146,-0.003027562454032129,2.1845002639991535,-2.6408433463892154
1.03,0.003241547226625248,-0.0032416063445754872,2.164794408314227,-2.658249160369777
1.031,0.0034621830447905157,-0.0034622362589438183,2.1450652515961632,-2.676613875878644
1.032,0.003689339349021603,-0.0036893863278670835,2.1252486582362597,-2.6958822388643484
1.033,0.003922950935988673,-0.003922991341339888,2.1052778473352487,-2.7159970111963396
1.034,0.004162953255057659,-0.0041629867420232,2.0850863775369874,-2.7369014792612485
1.035,0.004409282401737564,-0.004409308618694041,2.0646105580432454,-2.7585414775198727
1.036,0.004661875111174765,-0.004661893699742237,2.043791302881552,-2.780866941979787
1.037,0.004920668751693744,-0.004920679346721357,2.0225754633048143,-2.8038330229645276
1.038,0.005185601318399114,-0.005185603547961826,2.000916685971159,-2.8274007980379676
1.039,0.005456611426836343,-0.0054566049122337645,1.9787758536631244,-2.8515376327728177
1.04,0.005733638306714172,-0.005733622662483562,1.9561211699550338,-2.8762172418107723
1.041,0.006016621795687408,-0.006016596629630833,1.9329279514258273,-2.9014195037347434
1.042,0.006305502333218719,-0.006305467246428442,1.909178189769691,-2.9271300826508466
1.043,0.006600220954493674,-0.006600175541390918,1.8848599433861155,-2.9533399067242816
1.044,0.006900719284410111,-0.0069006631327956924,1.8599666130377848,-2.98004454985962
1.045,0.007206939531639105,-0.007206872222739413,1.8344961505190238,-3.0072435576510315
1.046,0.007518824482749808,-0.007518745591269749,1.808450242469829,-3.0349397532921585
1.047,0.007836317496395928,-0.007836226590581141,1.7818335046603788,-3.0631385530779234
1.048,0.008159362497579458,-0.008159259139271846,1.7546527150124618,-3.0918473151940855
1.049,0.00848790397196912,-0.008487787716666695,1.726916106938332,-3.1210747400832797
1.05,0.008821886960285399,-0.008821757357203808,1.6986327382910194,-3.1508303349023197
1.051,0.00916125705275088,-0.009161113644876373,1.6698119453869593,-3.181123950347366
1.052,0.009505960383591626,-0.009505802707742816,1.6404628870251694,-3.2119653933016825
1.053,0.009855943625607003,-0.009855771212483155,1.6105941784947855,-3.243364115891462
1.054,0.010211153984788682,-0.010210966359024631,1.580213612854957,-3.275328977945973
1.055,0.010571539195004193,-0.01057133587521264,1.5493279635148147,-3.3078680782040712
1.056,0.01093704751272162,-0.010936828011543831,1.5179428605348213,-3.340988647461668
1.057,0.011307627711803644,-0.011307391535944511,1.486062731451783,-3.3746969961891713
1.058,0.011683229078340284,-0.011682975728610323,1.4536907970268276,-3.408998508146405
1.059,0.012063801405540978,-0.012063530376888565,1.4208291117111846,-3.4438976717160315
1.06,0.012449294988673431,-0.012449005770217347,1.3874786391582938,-3.4793981405114516
1.061,0.012839660620052906,-0.01283935269511094,1.3536393534425928,-3.515502815482186
1.062,0.01323484958407954,-0.013234522430196627,1.3193103573758798,-3.552213941395182
1.063,0.013634813652327682,-0.013634466741298645,1.2844900104556987,-3.589533211194605
1.064,0.014039505078676644,-0.014039137876570074,1.2491760598099229,-3.6274618728992922
1.065,0.014448876594496065,-0.014448488561673578,1.2133657688123682,-3.6660008343379977
1.066,0.01486288140387198,-0.014862471995010118,1.1770560389449105,-3.705150762268749
1.067,0.015281473178883002,-0.015281041842988508,1.1402435216968696,-3.74491217303918
1.068,0.015704606054922857,-0.01570415223535271,1.102924718233685,-3.785285512935757
1.069,0.016132234626066055,-0.0161317577605411,1.065096065357039,-3.8262712270817483
1.07,0.016564313940481912,-0.016563813461106136,1.026754007221383,-3.867869816344836
1.071,0.017000799495894697,-0.017000274829166884,0.9878950527858246,-3.9100818823224333
1.072,0.01744164723508263,-0.01744109780191394,0.9485158194752872,-3.952908160918369
1.073,0.01788681354143034,-0.01788623875715789,0.9086130642633287,-3.9963495451949345
1.074,0.01833625523452031,-0.018335654508921273,0.8681837031163525,-4.040407098787261
1.075,0.018789929565766604,-0.01878930230307141,0.827224820489364,-4.085082060951758
1.076,0.019247794214097485,-0.01924713981300652,0.7857336703595129,-4.130375844599521
1.077,0.01970980728167687,-0.019709125135371153,0.7437076703535743,-4.176290028673706
1.078,0.020175927289674003,-0.02017521678583023,0.7011443905956859,-4.222826346144964
1.079,0.020646113174066703,-0.020645373694870628,0.6580415385914414,-4.269986668893875
1.08,0.021120324281496523,-0.021119555203654272,0.6143969416868951,-4.317772990506722
1.081,0.02159852036515755,-0.021597721059912978,0.5702085280645859,-4.366187408036648
1.082,0.022080661580732738,-0.022079831413877038,0.5254743074436,-4.415232103576086
1.083,0.02256670848237015,-0.022565846814253554,0.4801923522321944,-4.4649093262277635
1.084,0.023056622018690798,-0.023055728204238513,0.4343607797864093,-4.51522137518618
1.085,0.023550363528850676,-0.023549436917573274,0.38797773636746236,-4.566170584163077
1.086,0.024047894738633523,-0.024046934674637477,0.3410413829519956,-4.617759307587269
1.087,0.024549177756580942,-0.024548183578586347,0.2935498833250735,-4.6699899085636245
1.088,0.025054175070169372,-0.025053146111515545,0.24550139430008708,-4.722864748874037
1.089,0.025562849542019962,-0.025561785130679304,0.19689405826678633,-4.776386180769358
1.09,0.026075164406143755,-0.02607406386473432,0.1477259977760281,-4.83055654064842
1.091,0.026591083264233432,-0.026589945910029833,0.09799531213929372,-4.885378144388384
1.092,0.0271105700819831,-0.027109395226927013,0.04770007576303549,-4.940853284142693
1.093,0.027633589185449465,-0.027632376136160097,-0.003161662024312843,-4.996984226499956
1.094,0.028160105257448446,-0.028158853315234822,-0.05459187577750082,-5.053773211632312
1.095,0.028690083333987797,-0.028688791794860613,-0.10659256186874276,-5.1112224534449515
1.096,0.02922348880073535,-0.029222156955415635,-0.15916573551424773,-5.169334140310965
1.097,0.02976028738952351,-0.02975891452345447,-0.21231342731410385,-5.228110436309195
1.098,0.03030044517488592,-0.030299030568244234,-0.26603767942901096,-5.287553482784343
1.099,0.03084392857063051,-0.030842471498337076,-0.3203405416124826,-5.347665400077871
1.1,0.03139070432645125,-0.0313892040581818,-0.3752240672075625,-5.408448289254684
1.101,0.03194073952456133,-0.03193919532475764,-0.43069030929974744,-5.4699042338162664
1.102,0.032494001576375824,-0.03249241270425696,-0.4867413170152298,-5.53203530118672
1.103,0.033050458219214394,-0.03304882392878827,-0.5433791322101099,-5.5948435440478725
1.104,0.0336100775130447,-0.03360839705311758,-0.6006057864006848,-5.658331001388204
1.105,0.03417282783725408,-0.034171100451444225,-0.658423298109575,-5.722499699272983
1.106,0.03473867788745785,-0.03473690281420616,-0.7168336705929155,-5.787351651390307
1.107,0.035307596672332416,-0.035305773144914454,-0.7758388898785318,-5.852888859194935
1.108,0.03587955351048977,-0.035877680757028685,-0.8354409232266405,-5.919113311955107
1.109,0.03645451802737443,-0.0364525952708501,-0.895641717842355,-5.986026986409171
1.11,0.037032460152194864,-0.03703048661046093,-0.9564431999241095,-6.053631846283616
1.111,0.03761334966349349,-0.037611325463958956,-0.9726487193388278,-6.075543685874286
1.112,0.0381971569435335,-0.0381950825121633,-0.9744489613432505,-6.081841394361618
1.113,0.038783852788450014,-0.038781728608250354,-0.9736275617615049,-6.084622761171535
1.114,0.039373408309990976,-0.03937123487211558,-0.972544806074551,-6.08636564403064
1.115,0.0399657949128132,-0.039963572707563344,-0.9716039347140116,-6.087559414895704
1.116,0.040560984287842335,-0.04055871380313292,-0.9708364034444931,-6.088327340793386
1.117,0.041158948408812755,-0.04115663012979631,-0.9702140307876221,-6.0887371839186395
1.118,0.0417596595294256,-0.04175729393815075,-0.9697075201192129,-6.088855989459866
1.119,0.042363090180631724,-0.042360677755565845,-0.9692952187537713,-6.088755532261783
1.12,0.042969213167925124,-0.042966754383407135,-0.9689626062423047,-6.088509123018891
1.121,0.04357800156865214,-0.04357549689431739,-0.968700446541513,-6.088187719859454
1.122,0.044189428729329586,-0.04418687862955917,-0.9685030856288395,-6.087856796984836
1.123,0.044803468262973774,-0.04480087319640269,-0.9683671120215155,-6.087574137183302
1.124,0.04542009404644888,-0.04541745446556256,-0.968290359806789,-6.087388463940977
1.125,0.04603928021783295,-0.04603659656866199,-0.9682711037857521,-6.087337848022019
